Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Bikes
15,33.7,55,3.7,1843,23.3,2.67,0,0,3,1,712
14,29.2,67,2.8,1725,22.4,1.13,0,0,3,1,1052
23,9.7,56,1.3,1423,1.3,0,0,0,4,1,851
0,21.8,83,1.5,2000,18.7,0,0,0,4,1,906
17,28,50,3.2,1137,16.6,1.93,0,0,3,1,2289
17,8.7,30,3.1,1117,-7.9,0.96,0,0,1,1,646
23,-10.2,53,3.3,1997,-17.9,0,0,0,1,1,139
1,1.9,32,1.4,1999,-13,0,0,0,4,1,485
15,27.6,37,1.9,2000,11.5,2.58,0,0,3,1,1693
1,20.5,89,0.5,235,18.6,0,1.5,0,3,1,61
17,24.6,35,3.6,1990,8.1,1.2,0,0,4,1,2045
6,16.3,66,0.7,2000,9.9,0.05,0,0,3,1,381
5,5.1,76,0.7,2000,1.2,0,0,0,4,1,161
14,1.9,89,1.5,102,0.2,0.41,0,0,2,1,117
5,-10.5,46,3,2000,-19.9,0,0,1,1,1,44
22,3,61,1.6,460,-3.8,0,0,0,1,1,333
11,28.4,35,1.6,2000,11.4,2.82,0,0,3,1,857
23,-3.6,50,1.9,1284,-12.5,0,0,0,1,1,189
16,11.7,96,1.4,587,11,0.02,0,0,4,1,14
12,6.2,64,1.9,549,-0.1,0.79,0,0,1,1,311
23,20.1,73,1.9,771,15.1,0,0,0,3,1,1456
4,23.6,61,0.3,2000,15.6,0,0,0,3,1,264
17,17.2,81,1.2,2000,13.9,0.57,0,0,2,1,1551
11,3.1,57,0.8,804,-4.6,0.63,0,0,1,1,278
19,19.1,60,3.4,1592,11.1,0.1,0,0,2,1,1779
1,18.4,59,1.3,2000,10.2,0,0,0,3,1,1056
5,2.2,97,2.9,362,1.7,0,0,0,2,1,11
18,25,69,1.5,1125,18.9,0.52,0,0,3,1,3172
11,26.2,82,2.6,834,22.8,0.59,0,0,3,1,716
16,18,32,3,1836,1,1.03,0,0,2,1,1578
5,24.2,86,0.2,2000,21.7,0,0,0,3,1,316
6,7.2,77,0.5,2000,3.4,0,0,0,4,1,491
9,3.3,72,1.4,618,-1.2,0.61,0,0,2,1,664
15,9.5,54,1.3,675,0.6,0.76,0,1.1,4,1,846
23,-10.3,48,2,2000,-19.2,0,0,0,1,1,77
10,23.7,59,1.7,2000,15.2,0.89,0,0,3,1,998
14,-7,26,4.4,1986,-23.3,2.24,0,0,1,1,147
16,18.7,25,2.1,1605,-1.7,1.07,0,0,4,1,0
22,2,30,1.3,1995,-13.8,0,0,0,4,1,729
2,20.1,49,0.8,1978,9,0,0,0,3,1,351
3,19.4,79,0.8,563,15.6,0,0,0,3,1,340
22,0.3,33,4,1436,-14.1,0,0,0,1,1,218
1,8.9,40,2.1,2000,-3.9,0,0,0,2,1,374
15,32.9,45,1.9,1877,19.3,1.84,0,0,3,1,992
20,27.9,47,1.9,2000,15.5,0.01,0,0,3,1,2114
12,34.1,46,1.6,1885,20.8,2.72,0,0,3,1,629
21,16.1,44,1.2,913,3.8,0,0,0,2,1,1382
14,33,53,1.7,1357,22.1,1.73,0,0,3,1,754
15,27.3,51,2.6,598,16.2,2.4,0,0,3,1,1979
22,12.3,65,1.7,2000,5.8,0,0,0,4,1,1331
12,33.8,47,1.7,1962,20.9,1.92,0,0,3,1,644
14,14,43,2.8,2000,1.5,1.13,0,0,4,1,1041
21,9.1,76,3.5,1113,5,0,0,0,2,1,633
11,31.2,63,2.6,1695,23.3,1.99,0,0,3,1,499
3,-9,40,3.1,2000,-20.1,0,0,0,1,1,100
19,13.8,32,3.4,1992,-2.6,0.26,0,0,2,1,1719
15,24.1,34,2,1996,7.2,2.14,0,0,4,1,2200
21,10.4,96,2.7,499,9.7,0,0,0,2,1,567
21,21.8,97,1.3,160,21.2,0,0.5,0,2,1,398
14,24.9,97,0.5,766,24.3,0.36,4,0,3,1,126
3,-1.3,80,0.7,392,-4.3,0,0,0,1,1,63
12,9.6,39,1.8,1982,-3.7,2.09,0,0,2,1,550
11,11.8,57,2.6,1041,3.5,2.18,0,0,2,1,797
22,-4.3,81,0.4,435,-7,0,0,0,1,1,168
7,7,82,0.5,867,4.1,0,0,0,4,1,427
12,21.7,36,2,2000,5.9,2.78,0,0,4,1,1045
23,31.2,50,1.8,2000,19.5,0,0,0,3,1,1117
7,-9.2,34,2,1945,-22.2,0,0,0,1,1,40
11,28.8,33,2.2,1951,10.9,2.85,0,0,3,1,844
3,-15.3,43,0.8,1963,-25,0,0,0.3,1,1,41
15,-2.1,30,3.9,1933,-17.3,2.22,0,0,1,1,228
6,-12.5,40,3.4,1991,-23.3,0,0,0,1,1,94
1,-2.2,86,0.6,990,-4.2,0,0,0,1,1,308
9,19.8,49,1.9,2000,8.7,1.24,0,0,4,1,1234
15,12,35,3,1908,-3,1.72,0,0,4,1,994
16,22.2,23,2.2,2000,0,1.66,0,0,2,1,2143
17,17.1,31,3.3,1075,-0.1,1.33,0,0,2,1,925
17,-7,32,2.6,2000,-20.9,0.19,0,0,1,1,305
21,24.6,70,2.5,2000,18.7,0,0,0,4,1,1851
22,12.8,52,1.5,1616,3.1,0,0,0,2,1,922
10,9.6,43,1.8,1930,-2.3,1.49,0,0,4,1,771
3,23,54,1,1818,13.1,0,0,0,3,1,483
7,29.4,62,1.9,1758,21.3,0.24,0,0,3,1,405
7,25.2,75,0.6,1056,20.4,0.34,0,0,3,1,1251
3,2.7,55,1.5,1989,-5.4,0,0,0,2,1,92
9,3.7,49,1.9,1961,-6,0.89,0,0,4,1,982
4,28.3,83,1.7,814,25.1,0,0,0,3,1,340
15,-0.7,28,0,2000,-16.9,0,0,0,1,1,353
23,17.9,79,0.4,323,14.1,0,0,0,2,1,1044
12,21.7,96,0.8,1773,21,0.81,1.5,0,2,1,467
14,12.7,55,3.4,378,3.8,2.42,0,0,2,1,855
16,33.7,43,2.7,1890,19.3,2.55,0,0,3,1,1017
12,13.2,77,1.3,589,9.2,0.5,0,0,4,1,697
2,6.6,59,0.4,2000,-0.8,0,0,0,4,1,450
22,23.6,82,1.8,1673,20.3,0,0,0,4,1,1798
17,30.9,34,2.5,1640,13.2,1.79,0,0,3,1,1754
20,3.7,58,1.3,474,-3.8,0,0,0,1,1,321
14,21.6,28,3.1,1414,2.2,2.84,0,0,2,1,1123
20,24.6,65,2.9,2000,17.5,0,0,0,3,1,2022
9,16.7,97,2.9,550,16.2,0.05,6,0,4,1,5
15,17,28,3.5,1804,-1.6,2.9,0,0,2,1,0
13,5.2,58,2.5,435,-2.4,0.81,0,0,1,1,370
6,12.3,67,0.5,483,6.3,0,0,0,2,1,184
1,7.2,95,0.2,683,6.4,0,0.5,0,2,1,50
23,6.8,56,0.9,497,-1.3,0,0,0,2,1,397
4,11,63,0.8,2000,4.2,0,0,0,4,1,0
17,5.4,61,1.3,691,-1.5,0.08,0,0,1,1,477
12,24.8,43,1.2,1943,11.3,3.27,0,0,3,1,1525
10,13.3,47,0.5,818,2.2,1.67,0,0,4,1,847
2,-1.6,80,1.4,1097,-4.6,0,0,3.5,1,1,60
23,27.2,55,0.7,920,17.3,0,0,0,3,1,1437
0,20.4,97,0.3,183,19.9,0,5.5,0,3,1,29
19,22.6,39,2.8,2000,7.9,0.14,0,0,4,1,2365
7,9.5,86,0.6,293,7.2,0,0,0,4,1,309
18,30,60,2.5,1933,21.3,0.99,0,0,3,1,3080
17,29.1,49,2.8,1969,17.2,1.57,0,0,3,1,1869
6,-5.6,52,3.7,1785,-13.9,0,0,0.9,1,1,126
10,14.7,62,2.9,684,7.4,1.59,0,0,2,1,494
6,-9.8,37,1.7,2000,-21.7,0,0,0,1,1,105
2,19.6,97,2.6,201,19.1,0,0.4,0,3,1,164
1,15.1,84,0.3,1858,12.4,0,0,0,2,1,609
3,4.6,65,0.1,2000,-1.4,0,0,0,4,1,122
18,26.8,53,2.6,2000,16.4,0.8,0,0,4,1,3166
15,19.9,26,3.8,1898,-0.1,3,0,0,2,1,1323
21,8.8,72,0.9,501,4,0,0,0,2,1,71
0,-6.5,63,1.5,1666,-12.3,0,0,2,1,1,142
2,22,86,0.4,1703,19.5,0,0,0,4,1,785
23,21.5,62,0.1,1827,13.9,0,0,0,3,1,1394
14,19.3,27,1.3,1384,-0.1,2.38,0,0,4,1,1712
12,19.8,49,2.3,1320,8.7,3.17,0,0,2,1,0
22,12.3,73,0.9,1392,7.5,0,0,0,4,1,1257
19,27.4,78,1.1,1899,23.2,0.27,0,0,3,1,2313
13,9.8,70,1.7,360,4.5,0.33,0,0,4,1,758
1,3,62,0.9,835,-3.5,0,0,0,1,1,122
12,8.1,51,1.4,367,-1.4,0.75,0,0,1,1,310
15,24.6,57,1.8,1664,15.5,1.54,0,0,3,1,1292
0,21.1,64,1.5,2000,14,0,0,0,4,1,983
21,9.4,94,2.1,869,8.4,0,1.5,0,2,1,82
1,23.7,77,1.1,1099,19.4,0,0,0,3,1,652
0,6.8,56,0.7,1505,-1.3,0,0,0,4,1,457
10,19.3,27,1.4,2000,-0.1,2.63,0,0,2,1,962
15,9.5,96,2.2,350,8.8,0.31,1.5,0,2,1,14
11,33.5,48,2.4,1968,20.9,2.71,0,0,3,1,672
23,27.2,78,1.9,1601,23,0,0,0,3,1,1318
5,7.2,68,2.5,1740,1.6,0,0,0,4,1,27
7,-2.2,76,1.9,527,-5.8,0,0,0,1,1,404
12,12.6,36,2.6,1785,-2.1,2.14,0,0,4,1,926
19,-3.2,45,0,2000,-13.5,0,0,0,1,1,597
11,0.8,62,2.8,801,-5.6,0.88,0,1.1,1,1,142
19,20.7,47,3.5,1952,8.9,0.28,0,0,2,1,1753
22,0.5,22,2.9,2000,-18.8,0,0,0,1,1,319
12,18.2,34,1,758,2,2.03,0,0,4,1,1034
8,12,77,0.4,891,8,0.12,0,0,4,1,2070
13,12.6,87,2.3,539,10.4,0.13,1.5,0,4,1,18
22,5.3,31,2.3,1842,-10.5,0,0,0,2,1,419
19,-4.2,40,0.9,1216,-15.8,0,0,0,1,1,410
10,1.3,27,0.9,1856,-15.6,1.13,0,0,4,1,582
14,0.9,25,2.4,1730,-16.9,2.09,0,0,1,1,253
17,9.3,81,2.4,2000,6.1,0.52,0,0,2,1,675
10,17,97,1.5,676,16.5,0.15,6,0,4,1,2
20,3.1,42,2.4,2000,-8.5,0,0,0,4,1,777
4,10.3,72,1,2000,5.4,0,0.8,0,2,1,39
6,-5.9,39,2.9,1979,-17.6,0,0,0,1,1,136
6,17.4,98,0.3,234,17,0,0,0,2,1,77
7,6.5,85,0.8,536,4.1,0,0,0,4,1,788
6,11.4,67,1,1600,5.4,0.04,0,0,2,1,530
4,28.8,73,0.5,1835,23.4,0,0,0,3,1,310
20,0.2,72,0.7,990,-4.2,0,0,0.8,1,1,288
8,11.5,60,1.6,550,3.9,0.42,0,0,2,1,1406
13,12.7,97,2.6,467,12.2,0.23,0,0,2,1,269
10,3.6,37,1.3,2000,-9.7,0.83,0,0,2,1,374
22,10.9,58,1.5,2000,2.9,0,0,0,2,1,1041
11,0,45,1.1,1500,-10.5,0.89,0,0,1,1,351
5,19.4,77,0.8,831,15.2,0,0,0,3,1,317
20,-6,42,0.8,2000,-16.8,0,0,0,1,1,166
2,9.6,65,1.5,1654,3.3,0,0,0,2,1,352
2,8.2,62,0.2,1415,1.3,0,0,0,4,1,378
0,16.8,69,0.8,1395,11,0,0,0,2,1,532
19,21.2,52,3.6,1856,10.9,0.55,0,0,2,1,2650
20,14.8,68,2,1502,8.9,0,0,0,4,1,1568
6,0.1,97,0.6,77,-0.3,0,0,0,2,1,239
22,12.2,57,0,1544,3.9,0,0,0,4,1,1025
19,2.9,26,1.1,2000,-14.7,0,0,0,4,1,1007
9,22.6,51,1.7,2000,11.9,1.87,0,0,3,1,1009
5,-15.4,45,0.8,2000,-24.6,0,0,0.3,1,1,25
3,10.3,81,0.7,361,7.1,0,0,0,4,1,372
18,5.1,34,2.3,1440,-9.5,0.09,0,0,1,1,559
9,28,56,1.5,1982,18.3,1.57,0,0,3,1,1015
14,20.2,42,2.8,1832,6.8,1.87,0,0,4,1,1987
20,16.5,96,2.7,1047,15.8,0,1,0,4,1,44
15,19.4,79,1.4,2000,15.6,0.33,0,0,4,1,696
11,21.3,41,1.9,1963,7.5,2.36,0,0,4,1,0
17,26.6,63,3,2000,18.9,0.43,0,0,4,1,1525
2,6.3,89,2.2,1456,4.6,0,0,0,2,1,9
11,10.7,56,2,261,2.2,2.27,0,0,2,1,466
15,8.9,34,2.9,1787,-6.1,0.52,0,0,4,1,1018
23,17.9,53,1.9,1774,8.1,0,0,0,2,1,1071
3,5.2,82,0.8,190,2.3,0,0,0,1,1,149
4,16.9,74,1.2,1199,12.2,0,0,0,2,1,124
15,31.7,30,1.9,1943,11.9,2.23,0,0,3,1,1196
2,19.2,69,1.3,2000,13.3,0,0,0,3,1,162
22,14.7,63,1.4,554,7.7,0,0,0,2,1,1278
20,-14.3,37,1.3,2000,-25.8,0,0,0.7,1,1,125
2,20,70,0.2,2000,14.3,0,0,0,4,1,0
13,5.3,29,2.1,1007,-11.3,2.08,0,0,1,1,412
12,21.4,40,1.4,1973,7.2,2.53,0,0,4,1,1634
5,11.8,82,1.1,1878,8.8,0,0,0,4,1,173
8,-3.8,79,0.8,412,-6.9,0,0,0,1,1,81
18,8.7,28,3.2,2000,-8.8,0.49,0,0,2,1,1246
9,29.3,66,1.1,2000,22.2,1.07,0,0,3,1,961
5,8,63,0.8,439,1.3,0,0,0,2,1,110
8,11.7,62,0.6,956,4.6,0.62,0,0,2,1,1933
2,-1.1,79,0.7,736,-4.2,0,0,0.8,1,1,161
5,15,61,1.2,903,7.5,0,0,0,2,1,70
1,16,79,1,716,12.3,0,0,0,2,1,295
21,26.2,62,2.3,2000,18.3,0,0,0,4,1,1759
18,-0.3,17,1.9,2000,-22.4,0.2,0,0,1,1,223
0,16.3,59,0.2,756,8.2,0,0,0,2,1,707
19,13.3,72,1.1,234,8.3,0,0,0,4,1,0
10,13.8,47,4.8,1561,2.6,1.64,0,0,2,1,762
4,27.3,85,1.6,671,24.5,0,0,0,3,1,218
22,-5.5,56,1.5,2000,-12.9,0,0,2,1,1,213
10,19.4,47,2.3,2000,7.7,1.45,0,0,4,1,923
17,33.2,55,2.7,1600,22.9,0.55,0,0,3,1,1358
9,5,75,0.3,390,0.9,0.12,0,0,4,1,800
16,27.1,35,0.9,2000,10.3,1.27,0,0,4,1,2099
5,0,32,0.7,2000,-14.7,0,0,0,1,1,60
6,1.6,78,1.6,448,-1.8,0,0,0,1,1,48
3,14.3,97,1.2,228,13.8,0,7,0,2,1,22
23,22,55,1.7,2000,12.5,0,0,0,3,1,1458
11,-6.1,25,2.8,1976,-22.9,1.28,0,0,1,1,190
16,21.7,41,3.2,2000,7.8,1.91,0,0,2,1,1049
3,5.4,77,1.6,583,1.6,0,0,0,1,1,230
7,10.3,90,1.2,2000,8.7,0.01,0,0,2,1,665
20,3,62,2.4,975,-3.5,0,0,0,1,1,348
16,28.1,43,3.4,845,14.3,2.32,0,0,2,1,1497
12,-6,38,3.4,1930,-18,2.04,0,0,1,1,192
12,16.8,50,1.6,2000,6.3,1.94,0,0,4,1,1132
13,17.2,96,0.9,275,16.5,0.26,4,0,2,1,327
4,26.7,62,1,2000,18.8,0,0,0,3,1,209
8,-7.1,68,0.6,1931,-12,0.03,0,0,1,1,568
19,21.9,96,1.2,509,21.2,0.01,5.5,0,3,1,18
6,24.6,86,0.4,1119,22,0.02,0,0,3,1,356
23,21.2,56,2.5,2000,12,0,0,0,4,1,941
10,29.5,68,1.8,946,22.9,0.54,0,0,3,1,644
16,25.2,87,0.9,601,22.8,0.88,0,0,3,1,839
1,13.9,57,2,2000,5.5,0,0,0,4,1,402
16,-1.2,63,0.9,876,-7.3,0.19,0,0,1,1,249
13,6.5,26,2.4,1974,-11.6,1.84,0,0,4,1,678
19,20.3,39,0.6,2000,5.8,0,0,0,4,1,1608
21,18.7,48,1.3,2000,7.4,0,0,0,4,1,1930
22,21.7,97,0.7,540,21.1,0,3.5,0,3,1,16
1,19.5,52,1.3,2000,9.3,0,0,0,4,1,662
9,24.4,82,3,1847,21.1,0.6,0,0,3,1,876
0,1.4,92,0.5,240,0.2,0,0,0.9,1,1,198
5,4.7,54,1.3,543,-3.8,0,0,0,2,1,82
9,-12.3,39,3.7,1984,-23.4,0.45,0,0,1,1,217
11,35.8,41,1.6,1795,20.4,2.77,0,0,3,1,521
2,1.6,79,0.9,685,-1.6,0,0,0,2,1,241
4,19.9,81,0.2,2000,16.5,0,0,0,4,1,220
23,15,94,1.6,163,14,0,0,0,2,1,454
21,13.3,48,1.6,1582,2.5,0,0,0,2,1,1010
7,-11.7,53,1.6,1998,-19.3,0,0,0,1,1,310
7,10.4,71,0.6,557,5.3,0,0,0,4,1,839
9,14.9,50,3.4,1989,4.5,1.08,0,0,4,1,1106
15,22.8,21,2.1,1542,-0.6,2.75,0,0,2,1,1180
11,7.5,54,0.9,1013,-1.2,2.49,0,0,2,1,644
22,-5.3,45,2.5,2000,-15.3,0,0,0,1,1,353
14,27,52,2.1,2000,16.2,2.51,0,0,3,1,1209
5,17.9,77,0.5,1658,13.8,0,0,0,4,1,0
9,22.9,86,1.7,538,20.4,0.76,0,0,3,1,1195
17,6,51,2.5,1891,-3.3,0.06,0,0,1,1,572
23,-0.6,39,1.3,1731,-12.8,0,0,0,1,1,187
15,4.3,22,1.3,1837,-15.6,2.48,0,0,2,1,463
23,-4.3,44,0.7,1247,-14.7,0,0,0,1,1,195
6,9.5,68,0.9,2000,3.8,0,0,0,4,1,503
22,12.7,58,0,1480,4.6,0,0,0,4,1,1141
13,19.7,52,2.1,512,9.5,1.83,0,0,4,1,1058
0,21.5,63,1,1740,14.1,0,0,0,3,1,1055
18,-3.8,42,3.3,2000,-14.8,0,0,2,1,1,384
3,-7.7,49,1.8,1573,-16.5,0,0,0,1,1,67
7,15.1,81,0.8,1939,11.8,0.03,0,0,4,1,0
23,-10.7,53,1.2,2000,-18.4,0,0,0,1,1,174
6,4.5,77,1,1410,0.8,0,0,0,4,1,403
4,20.8,66,1.5,1719,14.2,0,0,0,4,1,185
23,2.4,63,0.6,443,-3.9,0,0,0,1,1,230
11,26.2,76,2.6,1995,21.6,0.88,0,0,3,1,415
4,19.6,74,1.4,847,14.8,0,0,0,4,1,241
15,16.7,85,1.2,2000,14.1,0.49,0,0,2,1,906
13,24.9,52,1.8,1554,14.3,1.7,0,0,3,1,1834
15,6.7,63,4.5,715,0.1,0.35,0,1,1,1,180
5,11.5,70,0.5,2000,6.2,0,0,0,4,1,105
20,-9.1,35,3.8,2000,-21.7,0,0,0,1,1,206
10,14.7,31,1.1,1240,-2.2,2.04,0,0,2,1,731
14,4.4,36,2.7,1975,-9.4,1.04,0,0,1,1,390
9,-4.7,49,1.2,1550,-13.8,0.12,0,0,1,1,354
22,23.4,98,0.3,585,23,0,2.5,0,3,1,83
4,22.6,66,0.9,2000,15.9,0,0,0,3,1,273
18,-4.6,56,3.6,2000,-12,0.09,0,0,1,1,150
11,17.6,40,1.4,1955,3.8,2.88,0,0,2,1,1015
0,4.7,46,1.7,746,-5.9,0,0,0,2,1,403
9,-6.5,26,2.4,1874,-22.8,0.64,0,0,1,1,98
0,5.4,64,0.8,2000,-0.8,0,0,0,4,1,456
19,-4.5,51,2,2000,-13.1,0,0,2,1,1,276
5,10,73,0.5,593,5.3,0,0,0,4,1,193
8,23.1,80,0.2,1066,19.4,0.27,0.1,0,3,1,1686
15,29.9,36,3.3,1866,13.2,2.94,0,0,3,1,1235
8,18.2,63,0.8,1731,11,1,0,0,2,1,694
0,1.5,71,1.1,590,-3.1,0,0,0,1,1,197
20,33.2,51,1,2000,21.6,0.02,0,0,3,1,1808
9,20.1,65,1.4,2000,13.3,0.93,0,0,3,1,1170
10,9.6,53,1.4,1818,0.4,1.16,0,0,4,1,779
20,20,46,2.6,1414,8,0.05,0,0,2,1,1902
20,10.5,52,1.4,1153,1,0,0,0,4,1,1269
15,15.4,72,1.1,608,10.3,0.57,0,0,4,1,848
4,-11.2,47,2.3,2000,-20.3,0,0,0,1,1,35
11,21.3,43,1.7,1998,8.2,2.42,0,0,4,1,1019
1,23.4,47,2.1,2000,11.4,0,0,0,3,1,842
20,24.4,85,0.7,2000,21.7,0.01,0,0,3,1,1560
22,-3.4,33,2.4,2000,-17.4,0,0,0,1,1,273
0,30,61,1.7,1794,21.6,0,0,0,3,1,953
3,19.6,68,1.7,1260,13.5,0,0,0,3,1,562
2,22.7,63,0.9,2000,15.2,0,0,0,3,1,387
9,14.8,95,1,986,14,0.53,0,0,2,1,579
15,-5.5,33,4.5,2000,-19.2,0.92,0,0,1,1,269
5,28.5,57,0.9,2000,19.1,0,0.1,0,3,1,185
6,13.8,74,0.7,644,9.2,0.05,0,0,2,1,531
15,24.2,93,1,590,22.9,0.78,0,0,3,1,619
11,7.2,66,1.5,542,1.2,1.41,0,0,4,1,643
23,29.6,63,0.1,2000,21.8,0,0,0,3,1,1086
15,27.6,38,1.4,2000,11.9,2.09,0,0,4,1,1249
6,30.4,54,1.3,2000,20,0.01,0,0,3,1,578
0,30,67,0.8,1986,23.1,0,0,0,3,1,1034
0,23.5,65,1.9,2000,16.5,0,0,0,3,1,1075
16,24.6,29,4,1988,5.3,1.73,0,0,4,1,1502
8,9.6,38,1.4,1527,-4,0.58,0,0,2,1,1702
19,-1.5,32,2.5,2000,-16,0,0,0,1,1,169
9,-15.1,49,1.1,1401,-23.4,0.2,0,0.3,1,1,105
18,7.1,40,0.6,1995,-5.6,0.01,0,0,4,1,877
15,18.4,25,2,1809,-2,2.8,0,0,2,1,1145
19,15.2,64,1.7,1185,8.4,0.02,0.5,0,2,1,32
6,9.5,65,1,1325,3.2,0.01,0,0,2,1,183
10,4,76,1.3,404,0.1,0.93,0,2.4,4,1,430
2,7.3,86,1.7,2000,5.1,0,0,0,2,1,251
16,4.2,89,2.5,479,2.5,0.07,0,0,1,1,9
20,4.5,58,0.8,383,-3,0,0,0,1,1,332
16,19.5,32,2.1,1436,2.3,1.1,0,0,4,1,1407
16,37.9,39,1.6,1757,21.5,1.76,0,0,3,1,676
0,28.4,68,0.9,2000,21.9,0,0,0,3,1,808
11,27.5,31,1.9,1841,8.8,2.7,0,0,3,1,1229
1,22.8,97,0.5,2000,22.2,0,0.5,0,3,1,334
17,-4.2,26,2.2,2000,-20.8,0.2,0,0,1,1,314
23,30.3,65,0.4,2000,22.9,0,0,0,3,1,1165
6,-5.5,52,0.7,1503,-13.8,0,0,0,1,1,38
8,8.7,77,0.7,529,4.8,0.11,0,0,4,1,0
8,23.4,83,0.8,1998,20.3,0.32,0,0,3,1,1841
0,2.7,86,1.2,422,0.5,0,0,3,4,1,420
20,31.5,53,1.8,2000,20.7,0.08,0,0,3,1,1655
20,2.3,59,3.8,1981,-4.9,0,0,0,1,1,323
5,6,72,1.3,2000,1.3,0,0,0,4,1,183
5,18.8,61,1.2,2000,11.1,0,0,0,3,1,324
11,9.2,33,1.1,892,-6.2,1.54,0,0,2,1,463
